"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context [6]","Early BCE/CE","Late BCE/CE","Context [7]","Context [8]","Context [9]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Item Category","icon","Thumbnail","Published Date","Updated Date"
"Drawing d-ss-001","http://opencontext.org/media/fdbfad01-1a79-4b54-bda0-51b79fcedf76","https://n2t.net/ark:/28722/k2f47xs81","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-001.jpg","2017-12-23T01:04:03Z","2025-04-02T11:23:58Z"
"Drawing d-ss-016","http://opencontext.org/media/b0d58deb-47cb-4177-8770-d103dad8d30c","https://n2t.net/ark:/28722/k2x06cb5q","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-016.jpg","2017-12-23T01:04:13Z","2025-04-02T11:24:02Z"
"Drawing d-gen-009","http://opencontext.org/media/182646e0-15cb-49f0-a180-84fa35709959","https://n2t.net/ark:/28722/k2g16893c","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-gen-009.jpg","2017-12-23T01:02:54Z","2025-04-02T11:24:22Z"
"Drawing d-gen-007","http://opencontext.org/media/62dc4777-1677-4c7c-ba2b-281c2f6f850c","https://n2t.net/ark:/28722/k2qj7px15","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Khafre Causeway","","","","","","","","https://opencontext.org/subjects/224776e9-839c-431a-aaf2-ed401f945b9e","29.975368162791604","31.135778716099114","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-gen-007.jpg","2017-12-23T01:02:53Z","2025-04-02T11:24:21Z"
"Digital Document f-f-nw-001","http://opencontext.org/media/48ab21b1-87c6-4bc1-9bc4-30acf17fd0ba","https://n2t.net/ark:/28722/k2ht2x97w","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Northwest","","","Sphinx Rump Passage","Feature FNWc1","","https://opencontext.org/subjects/3f7677a4-48f4-4630-b40c-df5b54d6a497","29.975297207627776","31.137296158609416","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings-B/d-nw-014.jpg","2017-11-14T20:44:08Z","2025-04-02T11:15:18Z"
"Drawing d-ss-015","http://opencontext.org/media/20f268c2-b87d-4e13-ac23-8b07612da7e7","https://n2t.net/ark:/28722/k25h7ss57","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-015.jpg","2017-12-23T01:04:12Z","2025-04-02T11:24:01Z"
"Drawing d-kvt-006","http://opencontext.org/media/b5aeb391-a2da-46b6-b983-8d7d85bfab0e","https://n2t.net/ark:/28722/k24f22h2m","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Terrace 1","Khafre Valley Temple","GII.VT Roof Terrace West","","","","","","https://opencontext.org/subjects/6094d6f4-71c0-45b4-98b9-23053a5d39f5","29.9747177716808","31.138227573501617","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-kvt-006.jpg","2017-12-23T01:03:13Z","2025-04-02T11:26:01Z"
"Drawing d-ss-021","http://opencontext.org/media/74f1231a-1693-4e5d-8c85-d54624ccba91","https://n2t.net/ark:/28722/k2w381t98","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-021.jpg","2017-12-23T01:04:16Z","2025-04-02T11:24:03Z"
"Drawing d-ss-005","http://opencontext.org/media/3d270fb1-3622-4d76-a920-e70c8c49a40b","https://n2t.net/ark:/28722/k2rf61d8v","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx East","","","","","","https://opencontext.org/subjects/5714b49e-a383-4738-9235-29841bfaaba0","29.97526657483614","31.137937830616877","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-005.jpg","2017-12-23T01:04:05Z","2025-04-02T11:23:59Z"
"Drawing d-gen-005","http://opencontext.org/media/efec05fe-e741-4156-9450-d06d6a3e86dc","https://n2t.net/ark:/28722/k20294c28","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Statue","","","","","","https://opencontext.org/subjects/b4864cbd-1fb8-42e5-9af5-58488ddc7a4b","29.975268482186262","31.13761011274832","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-gen-005.jpg","2017-12-23T01:02:52Z","2025-04-02T11:24:21Z"
"Drawing d-ss-002","http://opencontext.org/media/37861659-67ac-4864-b93a-0300411e6b1e","https://n2t.net/ark:/28722/k25q56k1w","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Southwest","","","","","","https://opencontext.org/subjects/77687f43-465b-474e-baa5-2b659183f630","29.97519942545788","31.137315191486188","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-002.jpg","2017-12-23T01:04:04Z","2025-04-02T11:23:58Z"
"Drawing d-ss-003","http://opencontext.org/media/cd517646-6128-4402-8855-f1bee518b3d9","https://n2t.net/ark:/28722/k28g8wg7c","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx South","","","","","","https://opencontext.org/subjects/7b877302-8848-4b01-8eaa-7e12489dbf2c","29.975156376167206","31.137621924489302","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-003.jpg","2017-12-23T01:04:04Z","2025-04-02T11:23:58Z"
"Drawing d-ss-004","http://opencontext.org/media/a7c7b369-9799-484f-959f-a09c9ea19614","https://n2t.net/ark:/28722/k20z7fw0z","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx Southeast","","","","","","https://opencontext.org/subjects/548fe116-251f-4bc5-86fd-97804dcc616d","29.97510631209676","31.137930070235992","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-ss-004.jpg","2017-12-23T01:04:05Z","2025-04-02T11:23:59Z"
"Drawing d-e-047","http://opencontext.org/media/d32b9d1c-007d-4c17-ab46-e1e53cd8be24","https://n2t.net/ark:/28722/k2cv4sq7g","ARCE Sphinx Project 1979-1983 Archive","https://opencontext.org/projects/141e814a-ba2d-4560-879f-80f1afb019e9","Africa","Egypt","Giza","Sphinx Amphitheater","Sphinx Ditch","Sphinx East","","","East Chapel","Removal 17","","https://opencontext.org/subjects/9b280f48-d091-45c2-aa21-0edbb06dc810","29.975266248301207","31.13786131886295","Image media","https://opencontext.org/static/oc/icons-v2/noun-image-file-1453705.svg","https://artiraq.org/static/opencontext/giza-sphinx/thumbs/Drawings/d-e-047.jpg","2017-12-23T01:01:49Z","2025-04-02T11:23:21Z"
