rank,latitude,longitude,density_score
1,29.975262935746226,31.1379061918321,10429341.478727683
2,29.97538164435401,31.1379061918321,9185378.03430521
3,29.97538164435401,31.137273267801536,9004050.568860393
4,29.975270849653413,31.137831730181446,8923489.034336628
5,29.97538164435401,31.137962038070093,8728652.3224807
6,29.975262935746226,31.137962038070093,8705885.408469046
7,29.975365816539636,31.137329114039527,8546073.5457565
8,29.97539747216838,31.137310498626864,8022822.578639354
9,29.975247107931857,31.137868961006774,7810642.111179267
10,29.975286677467782,31.137924807244765,7689240.194723191
11,29.975270849653413,31.13779449935612,7486677.566533501
12,29.975405386075565,31.137924807244765,7118423.046497987
13,29.975357902632453,31.1372918832142,7039628.950656975
14,29.975389558261195,31.137868961006774,6988205.332912809
15,29.975373730446822,31.137366344864855,6933860.6937250225
16,29.97523919402467,31.137924807244765,6716058.769169317
17,29.975389558261195,31.13825988467271,6673668.442799303
18,29.975262935746226,31.137999268895417,6670783.0562439365
19,29.975262935746226,31.13764557605481,6668117.363500573
20,29.97519171058156,31.13835296173603,6643506.706450577
